,min_samples_split,min_samples_leaf,max_features,max_depth
0,2.0,1.0,0.333,8.0
0,2.0,1.0,0.333,8.0
0,2.0,1.0,0.333,8.0
0,3.0,1.0,0.333,8.0
0,2.0,3.0,0.333,5.0
0,2.0,2.0,0.333,10.0
0,2.0,1.0,0.333,8.0
0,2.0,2.0,0.333,8.0
0,2.0,2.0,0.333,8.0
0,2.0,1.0,0.333,10.0
0,5.0,2.0,0.333,8.0
0,2.0,1.0,0.333,8.0
0,2.0,2.0,0.333,10.0
0,2.0,1.0,0.333,10.0
0,5.0,2.0,0.333,8.0
0,2.0,1.0,0.333,8.0
0,2.0,1.0,0.333,8.0
0,2.0,2.0,0.333,5.0
0,2.0,2.0,0.333,10.0
0,2.0,1.0,0.333,8.0
0,2.0,1.0,0.333,5.0
0,4.0,1.0,0.333,5.0
0,2.0,1.0,0.333,10.0
0,2.0,1.0,0.333,10.0
0,2.0,2.0,0.333,10.0
0,2.0,2.0,0.333,5.0
0,4.0,1.0,0.333,5.0
0,2.0,2.0,0.333,8.0
0,3.0,1.0,0.333,8.0
0,3.0,1.0,0.333,5.0
0,3.0,1.0,0.333,10.0
0,2.0,2.0,0.333,5.0
0,2.0,2.0,0.333,5.0
0,2.0,1.0,0.333,10.0
0,2.0,2.0,0.333,10.0
0,2.0,2.0,0.333,10.0
0,2.0,2.0,0.333,5.0
0,2.0,2.0,0.333,8.0
0,2.0,1.0,0.333,8.0
0,7.0,3.0,0.333,5.0
0,2.0,1.0,0.333,8.0
0,2.0,2.0,0.333,5.0
0,2.0,3.0,0.333,8.0
0,2.0,1.0,0.333,8.0
0,2.0,2.0,0.333,5.0
0,5.0,2.0,0.333,10.0
0,2.0,2.0,0.333,5.0
0,2.0,1.0,0.333,8.0
0,2.0,2.0,0.333,5.0
0,2.0,2.0,0.333,5.0
0,7.0,2.0,0.333,5.0
0,2.0,1.0,0.333,5.0
0,2.0,2.0,0.333,5.0
0,2.0,1.0,0.333,10.0
0,2.0,3.0,0.333,5.0
0,2.0,2.0,0.333,5.0
0,2.0,3.0,0.333,5.0
0,3.0,1.0,0.333,8.0
0,2.0,1.0,0.333,8.0
0,2.0,2.0,0.333,8.0
0,3.0,1.0,0.333,8.0
0,2.0,2.0,0.333,8.0
0,2.0,3.0,0.333,8.0
0,2.0,2.0,0.333,10.0
0,3.0,1.0,0.333,13.0
0,2.0,3.0,0.333,8.0
0,2.0,1.0,0.333,10.0
0,2.0,2.0,0.333,10.0
0,5.0,2.0,0.333,10.0
0,3.0,1.0,0.333,5.0
0,7.0,2.0,0.333,8.0
0,2.0,2.0,0.333,10.0
0,2.0,1.0,0.333,13.0
0,2.0,2.0,0.333,10.0
0,2.0,1.0,0.333,10.0
0,3.0,1.0,0.333,8.0
0,2.0,2.0,0.333,5.0
0,2.0,2.0,0.333,5.0
0,2.0,2.0,0.333,5.0
0,3.0,1.0,0.333,5.0
0,7.0,3.0,0.333,8.0
0,2.0,2.0,0.333,8.0
0,2.0,2.0,0.333,10.0
0,5.0,2.0,0.333,5.0
0,2.0,2.0,0.333,5.0
0,2.0,2.0,0.333,5.0
0,2.0,2.0,0.333,5.0
0,2.0,2.0,0.333,5.0
0,5.0,2.0,0.333,8.0
0,2.0,2.0,0.333,5.0
0,2.0,1.0,0.333,5.0
0,5.0,2.0,0.333,5.0
0,2.0,2.0,0.333,10.0
0,2.0,2.0,0.333,5.0
0,2.0,3.0,0.333,8.0
0,2.0,2.0,0.333,5.0
0,5.0,2.0,0.333,10.0
0,2.0,2.0,0.333,8.0
0,2.0,1.0,0.333,8.0
0,2.0,2.0,0.333,8.0
